feature,iv,useful
V68_clip_low,0.0,False
V68_isna,0.0,False
V67_clip_high,0.0,False
V67_clip_low,0.0,False
V67_isna,0.0,False
V66_clip_high,0.0,False
V66_clip_low,0.0,False
V74_isna,0.0,False
V73,0.0,False
V73_clip_high,0.0,False
V73_clip_low,0.0,False
V73_isna,0.0,False
V72,0.0,False
V72_clip_high,0.0,False
V72_clip_low,0.0,False
V72_isna,0.0,False
V71,0.0,False
V71_clip_high,0.0,False
V71_clip_low,0.0,False
V71_isna,0.0,False
V70_clip_high,0.0,False
V70_clip_low,0.0,False
V78_isna,0.0,False
V77,0.0,False
V77_clip_high,0.0,False
V77_clip_low,0.0,False
V77_isna,0.0,False
V76_clip_high,0.0,False
V76_clip_low,0.0,False
V76_isna,0.0,False
V75,0.0,False
V75_clip_high,0.0,False
V75_clip_low,0.0,False
V75_isna,0.0,False
V74,0.0,False
V74_clip_high,0.0,False
V74_clip_low,0.0,False
V82_isna,0.0,False
V81_clip_high,0.0,False
V81_clip_low,0.0,False
V81_isna,0.0,False
V80,0.0,False
V80_clip_high,0.0,False
V80_clip_low,0.0,False
V80_isna,0.0,False
V79,0.0,False
V79_clip_high,0.0,False
V79_clip_low,0.0,False
V79_isna,0.0,False
V78,0.0,False
V78_clip_high,0.0,False
V78_clip_low,0.0,False
V86_isna,0.0,False
V85_clip_high,0.0,False
V85_clip_low,0.0,False
V85_isna,0.0,False
D7,0.0,False
D7_clip_high,0.0,False
D7_clip_low,0.0,False
D7_isna,0.0,False
D6,0.0,False
D6_clip_high,0.0,False
D6_clip_low,0.0,False
D6_isna,0.0,False
D5_clip_high,0.0,False
D5_clip_low,0.0,False
D13_isna,0.0,False
D12,0.0,False
D12_clip_high,0.0,False
D12_clip_low,0.0,False
D12_isna,0.0,False
V84,0.0,False
V84_clip_high,0.0,False
V84_clip_low,0.0,False
V84_isna,0.0,False
V83_clip_high,0.0,False
V83_clip_low,0.0,False
V83_isna,0.0,False
V82_clip_high,0.0,False
V82_clip_low,0.0,False
V90_isna,0.0,False
V89,0.0,False
V89_clip_high,0.0,False
V89_clip_low,0.0,False
V89_isna,0.0,False
V88,0.0,False
V88_clip_high,0.0,False
V88_clip_low,0.0,False
V88_isna,0.0,False
V87,0.0,False
V87_clip_high,0.0,False
V87_clip_low,0.0,False
V87_isna,0.0,False
V86,0.0,False
V86_clip_high,0.0,False
V86_clip_low,0.0,False
V94_isna,0.0,False
V93,0.0,False
V93_clip_high,0.0,False
V93_clip_low,0.0,False
V93_isna,0.0,False
V92,0.0,False
V92_clip_high,0.0,False
V92_clip_low,0.0,False
V92_isna,0.0,False
V91_clip_high,0.0,False
V91_clip_low,0.0,False
V91_isna,0.0,False
V90_clip_high,0.0,False
V90_clip_low,0.0,False
V98_isna,0.0,False
V97_clip_high,0.0,False
V97_clip_low,0.0,False
V97_isna,0.0,False
V96_clip_high,0.0,False
V96_clip_low,0.0,False
V96_isna,0.0,False
V95_clip_high,0.0,False
V95_clip_low,0.0,False
V95_isna,0.0,False
V94,0.0,False
V94_clip_high,0.0,False
V94_clip_low,0.0,False
V102_isna,0.0,False
V101,0.0,False
V101_clip_high,0.0,False
V101_clip_low,0.0,False
V101_isna,0.0,False
V100_clip_high,0.0,False
V100_clip_low,0.0,False
V100_isna,0.0,False
V99_clip_high,0.0,False
V99_clip_low,0.0,False
V99_isna,0.0,False
V98,0.0,False
V98_clip_high,0.0,False
V98_clip_low,0.0,False
V106_isna,0.0,False
V105,0.0,False
V105_clip_high,0.0,False
V105_clip_low,0.0,False
V105_isna,0.0,False
V104,0.0,False
V104_clip_high,0.0,False
V104_clip_low,0.0,False
V104_isna,0.0,False
V103,0.0,False
V103_clip_high,0.0,False
V103_clip_low,0.0,False
V103_isna,0.0,False
V102,0.0,False
V102_clip_high,0.0,False
V102_clip_low,0.0,False
V110_isna,0.0,False
V109,0.0,False
V109_clip_high,0.0,False
V109_clip_low,0.0,False
V109_isna,0.0,False
V108,0.0,False
V108_clip_high,0.0,False
V108_clip_low,0.0,False
V108_isna,0.0,False
V107,0.0,False
V107_clip_high,0.0,False
V107_clip_low,0.0,False
V107_isna,0.0,False
V106,0.0,False
V106_clip_high,0.0,False
V106_clip_low,0.0,False
V114_isna,0.0,False
V113,0.0,False
V113_clip_high,0.0,False
V113_clip_low,0.0,False
V113_isna,0.0,False
V112,0.0,False
V112_clip_high,0.0,False
V112_clip_low,0.0,False
V112_isna,0.0,False
V111,0.0,False
V111_clip_high,0.0,False
V111_clip_low,0.0,False
V111_isna,0.0,False
V110,0.0,False
V110_clip_high,0.0,False
V110_clip_low,0.0,False
V118_isna,0.0,False
V117,0.0,False
V117_clip_high,0.0,False
V117_clip_low,0.0,False
V117_isna,0.0,False
V116,0.0,False
V116_clip_high,0.0,False
V116_clip_low,0.0,False
V116_isna,0.0,False
V115,0.0,False
V115_clip_high,0.0,False
V115_clip_low,0.0,False
V115_isna,0.0,False
V114,0.0,False
V114_clip_high,0.0,False
V114_clip_low,0.0,False
V122_isna,0.0,False
V121,0.0,False
V121_clip_high,0.0,False
V121_clip_low,0.0,False
V121_isna,0.0,False
V120,0.0,False
V120_clip_high,0.0,False
V120_clip_low,0.0,False
V120_isna,0.0,False
V119,0.0,False
V119_clip_high,0.0,False
V119_clip_low,0.0,False
V119_isna,0.0,False
V118,0.0,False
V118_clip_high,0.0,False
V118_clip_low,0.0,False
V126_isna,0.0,False
V125,0.0,False
V125_clip_high,0.0,False
V125_clip_low,0.0,False
V125_isna,0.0,False
V124,0.0,False
V124_clip_high,0.0,False
V124_clip_low,0.0,False
V124_isna,0.0,False
V123,0.0,False
V123_clip_high,0.0,False
V123_clip_low,0.0,False
V123_isna,0.0,False
V122,0.0,False
V122_clip_high,0.0,False
V122_clip_low,0.0,False
V130_isna,0.0,False
V129,0.0,False
V129_clip_high,0.0,False
V129_clip_low,0.0,False
V129_isna,0.0,False
V128_clip_high,0.0,False
V128_clip_low,0.0,False
V128_isna,0.0,False
V127_clip_high,0.0,False
V127_clip_low,0.0,False
V127_isna,0.0,False
V126_clip_high,0.0,False
V126_clip_low,0.0,False
V134_isna,0.0,False
V133,0.0,False
V133_clip_high,0.0,False
V133_clip_low,0.0,False
V133_isna,0.0,False
V132,0.0,False
V132_clip_high,0.0,False
V132_clip_low,0.0,False
V132_isna,0.0,False
V131_clip_high,0.0,False
V131_clip_low,0.0,False
V131_isna,0.0,False
V130_clip_high,0.0,False
V130_clip_low,0.0,False
V138_isna,0.0,False
V137,0.0,False
V137_clip_high,0.0,False
V137_clip_low,0.0,False
V137_isna,0.0,False
V136,0.0,False
V136_clip_high,0.0,False
V136_clip_low,0.0,False
V136_isna,0.0,False
V135,0.0,False
V135_clip_high,0.0,False
V135_clip_low,0.0,False
V135_isna,0.0,False
V134,0.0,False
V134_clip_high,0.0,False
V134_clip_low,0.0,False
V142_isna,0.0,False
V141,0.0,False
V141_clip_high,0.0,False
V141_clip_low,0.0,False
V141_isna,0.0,False
V140_clip_high,0.0,False
V140_clip_low,0.0,False
V140_isna,0.0,False
V139_clip_high,0.0,False
V139_clip_low,0.0,False
V139_isna,0.0,False
V138,0.0,False
V138_clip_high,0.0,False
V138_clip_low,0.0,False
V146_isna,0.0,False
V145,0.0,False
V145_clip_high,0.0,False
V145_clip_low,0.0,False
V145_isna,0.0,False
V144,0.0,False
V144_clip_high,0.0,False
V144_clip_low,0.0,False
V144_isna,0.0,False
V143,0.0,False
V143_clip_high,0.0,False
V143_clip_low,0.0,False
V143_isna,0.0,False
V142,0.0,False
V142_clip_high,0.0,False
V142_clip_low,0.0,False
V150_isna,0.0,False
V149_clip_high,0.0,False
V149_clip_low,0.0,False
V149_isna,0.0,False
D3_clip_high,0.0,False
D3_clip_low,0.0,False
D3_isna,0.0,False
D2_clip_high,0.0,False
D2_clip_low,0.0,False
D2_isna,0.0,False
D1_clip_high,0.0,False
D1_clip_low,0.0,False
D9_isna,0.0,False
D8_clip_high,0.0,False
D8_clip_low,0.0,False
D8_isna,0.0,False
V148_clip_high,0.0,False
V148_clip_low,0.0,False
V148_isna,0.0,False
V147,0.0,False
V147_clip_high,0.0,False
V147_clip_low,0.0,False
V147_isna,0.0,False
V146,0.0,False
V146_clip_high,0.0,False
V146_clip_low,0.0,False
V154_isna,0.0,False
V153_clip_high,0.0,False
V153_clip_low,0.0,False
V153_isna,0.0,False
V152,0.0,False
V152_clip_high,0.0,False
V152_clip_low,0.0,False
V152_isna,0.0,False
V151,0.0,False
V151_clip_high,0.0,False
V151_clip_low,0.0,False
V151_isna,0.0,False
V150,0.0,False
V150_clip_high,0.0,False
V150_clip_low,0.0,False
V158_isna,0.0,False
V157_clip_high,0.0,False
V157_clip_low,0.0,False
V157_isna,0.0,False
V156_clip_high,0.0,False
V156_clip_low,0.0,False
V156_isna,0.0,False
V155_clip_high,0.0,False
V155_clip_low,0.0,False
V155_isna,0.0,False
V154_clip_high,0.0,False
V154_clip_low,0.0,False
V162_isna,0.0,False
V161,0.0,False
V161_clip_high,0.0,False
V161_clip_low,0.0,False
V161_isna,0.0,False
V160,0.0,False
V160_clip_high,0.0,False
V160_clip_low,0.0,False
V160_isna,0.0,False
V159,0.0,False
V159_clip_high,0.0,False
V159_clip_low,0.0,False
V159_isna,0.0,False
V158_clip_high,0.0,False
V158_clip_low,0.0,False
V166_isna,0.0,False
V165,0.0,False
V165_clip_high,0.0,False
V165_clip_low,0.0,False
V165_isna,0.0,False
V164,0.0,False
V164_clip_high,0.0,False
V164_clip_low,0.0,False
V164_isna,0.0,False
V163,0.0,False
V163_clip_high,0.0,False
V163_clip_low,0.0,False
V163_isna,0.0,False
V162,0.0,False
V162_clip_high,0.0,False
V162_clip_low,0.0,False
V170_isna,0.0,False
V169,0.0,False
V169_clip_high,0.0,False
V169_clip_low,0.0,False
V169_isna,0.0,False
V168,0.0,False
V168_clip_high,0.0,False
V168_clip_low,0.0,False
V168_isna,0.0,False
V167,0.0,False
V167_clip_high,0.0,False
V167_clip_low,0.0,False
V167_isna,0.0,False
V166,0.0,False
V166_clip_high,0.0,False
V166_clip_low,0.0,False
V174_isna,0.0,False
V173,0.0,False
V173_clip_high,0.0,False
V173_clip_low,0.0,False
V173_isna,0.0,False
V172,0.0,False
V172_clip_high,0.0,False
V172_clip_low,0.0,False
V172_isna,0.0,False
V171_clip_high,0.0,False
V171_clip_low,0.0,False
V171_isna,0.0,False
V170_clip_high,0.0,False
V170_clip_low,0.0,False
V178_isna,0.0,False
V177,0.0,False
V177_clip_high,0.0,False
V177_clip_low,0.0,False
V177_isna,0.0,False
V176,0.0,False
V176_clip_high,0.0,False
V176_clip_low,0.0,False
V176_isna,0.0,False
V175,0.0,False
V175_clip_high,0.0,False
V175_clip_low,0.0,False
V175_isna,0.0,False
V174,0.0,False
V174_clip_high,0.0,False
V174_clip_low,0.0,False
V182_isna,0.0,False
V181,0.0,False
V181_clip_high,0.0,False
V181_clip_low,0.0,False
V181_isna,0.0,False
V180,0.0,False
V180_clip_high,0.0,False
V180_clip_low,0.0,False
V180_isna,0.0,False
V179,0.0,False
V179_clip_high,0.0,False
V179_clip_low,0.0,False
V179_isna,0.0,False
V178,0.0,False
V178_clip_high,0.0,False
V178_clip_low,0.0,False
V186_isna,0.0,False
V185,0.0,False
V185_clip_high,0.0,False
V185_clip_low,0.0,False
V185_isna,0.0,False
V184,0.0,False
V184_clip_high,0.0,False
V184_clip_low,0.0,False
V184_isna,0.0,False
V183,0.0,False
V183_clip_high,0.0,False
V183_clip_low,0.0,False
V183_isna,0.0,False
V182,0.0,False
V182_clip_high,0.0,False
V182_clip_low,0.0,False
V190_isna,0.0,False
V189_clip_high,0.0,False
V189_clip_low,0.0,False
V189_isna,0.0,False
V188_clip_high,0.0,False
V188_clip_low,0.0,False
V188_isna,0.0,False
V187,0.0,False
V187_clip_high,0.0,False
V187_clip_low,0.0,False
V187_isna,0.0,False
V186,0.0,False
V186_clip_high,0.0,False
V186_clip_low,0.0,False
V194_isna,0.0,False
V193,0.0,False
V193_clip_high,0.0,False
V193_clip_low,0.0,False
V193_isna,0.0,False
V192,0.0,False
V192_clip_high,0.0,False
V192_clip_low,0.0,False
V192_isna,0.0,False
V191,0.0,False
V191_clip_high,0.0,False
V191_clip_low,0.0,False
V191_isna,0.0,False
V190,0.0,False
V190_clip_high,0.0,False
V190_clip_low,0.0,False
V198_isna,0.0,False
V197_clip_high,0.0,False
V197_clip_low,0.0,False
V197_isna,0.0,False
C13_clip_high,0.0,False
C13_clip_low,0.0,False
C12_clip_high,0.0,False
C12_clip_low,0.0,False
C11_clip_high,0.0,False
C11_clip_low,0.0,False
C10_clip_high,0.0,False
C10_clip_low,0.0,False
D5_isna,0.0,False
D4_clip_high,0.0,False
D4_clip_low,0.0,False
D4_isna,0.0,False
V196,0.0,False
V196_clip_high,0.0,False
V196_clip_low,0.0,False
V196_isna,0.0,False
V195_clip_high,0.0,False
V195_clip_low,0.0,False
V195_isna,0.0,False
V194_clip_high,0.0,False
V194_clip_low,0.0,False
V202_isna,0.0,False
V201_clip_high,0.0,False
V201_clip_low,0.0,False
V201_isna,0.0,False
V200_clip_high,0.0,False
V200_clip_low,0.0,False
V200_isna,0.0,False
V199,0.0,False
V199_clip_high,0.0,False
V199_clip_low,0.0,False
V199_isna,0.0,False
V198_clip_high,0.0,False
V198_clip_low,0.0,False
V206_isna,0.0,False
V205,0.0,False
V205_clip_high,0.0,False
V205_clip_low,0.0,False
V205_isna,0.0,False
V204,0.0,False
V204_clip_high,0.0,False
V204_clip_low,0.0,False
V204_isna,0.0,False
V203,0.0,False
V203_clip_high,0.0,False
V203_clip_low,0.0,False
V203_isna,0.0,False
V202,0.0,False
V202_clip_high,0.0,False
V202_clip_low,0.0,False
V210_isna,0.0,False
V209,0.0,False
V209_clip_high,0.0,False
V209_clip_low,0.0,False
V209_isna,0.0,False
V208,0.0,False
V208_clip_high,0.0,False
V208_clip_low,0.0,False
V208_isna,0.0,False
V207,0.0,False
V207_clip_high,0.0,False
V207_clip_low,0.0,False
V207_isna,0.0,False
V206,0.0,False
V206_clip_high,0.0,False
V206_clip_low,0.0,False
V214_isna,0.0,False
V213,0.0,False
V213_clip_high,0.0,False
V213_clip_low,0.0,False
V213_isna,0.0,False
V212,0.0,False
V212_clip_high,0.0,False
V212_clip_low,0.0,False
V212_isna,0.0,False
V211,0.0,False
V211_clip_high,0.0,False
V211_clip_low,0.0,False
V211_isna,0.0,False
V210,0.0,False
V210_clip_high,0.0,False
V210_clip_low,0.0,False
V218_isna,0.0,False
V217,0.0,False
V217_clip_high,0.0,False
V217_clip_low,0.0,False
V217_isna,0.0,False
V216,0.0,False
V216_clip_high,0.0,False
V216_clip_low,0.0,False
V216_isna,0.0,False
V215,0.0,False
V215_clip_high,0.0,False
V215_clip_low,0.0,False
V215_isna,0.0,False
V214,0.0,False
V214_clip_high,0.0,False
V214_clip_low,0.0,False
V222_isna,0.0,False
V221_clip_high,0.0,False
V221_clip_low,0.0,False
V221_isna,0.0,False
V220,0.0,False
V220_clip_high,0.0,False
V220_clip_low,0.0,False
V220_isna,0.0,False
V219,0.0,False
V219_clip_high,0.0,False
V219_clip_low,0.0,False
V219_isna,0.0,False
V218,0.0,False
V218_clip_high,0.0,False
V218_clip_low,0.0,False
V226_isna,0.0,False
V225,0.0,False
V225_clip_high,0.0,False
V225_clip_low,0.0,False
V225_isna,0.0,False
V224,0.0,False
V224_clip_high,0.0,False
V224_clip_low,0.0,False
V224_isna,0.0,False
V223,0.0,False
V223_clip_high,0.0,False
V223_clip_low,0.0,False
V223_isna,0.0,False
V222_clip_high,0.0,False
V222_clip_low,0.0,False
V230_isna,0.0,False
V229,0.0,False
V229_clip_high,0.0,False
V229_clip_low,0.0,False
V229_isna,0.0,False
V228,0.0,False
V228_clip_high,0.0,False
V228_clip_low,0.0,False
V228_isna,0.0,False
V227,0.0,False
V227_clip_high,0.0,False
V227_clip_low,0.0,False
V227_isna,0.0,False
V226,0.0,False
V226_clip_high,0.0,False
V226_clip_low,0.0,False
V234_isna,0.0,False
V233,0.0,False
V233_clip_high,0.0,False
V233_clip_low,0.0,False
V233_isna,0.0,False
V232,0.0,False
V232_clip_high,0.0,False
V232_clip_low,0.0,False
V232_isna,0.0,False
V231,0.0,False
V231_clip_high,0.0,False
V231_clip_low,0.0,False
V231_isna,0.0,False
V230,0.0,False
V230_clip_high,0.0,False
V230_clip_low,0.0,False
V238_isna,0.0,False
V237,0.0,False
V237_clip_high,0.0,False
V237_clip_low,0.0,False
V237_isna,0.0,False
V236,0.0,False
V236_clip_high,0.0,False
V236_clip_low,0.0,False
V236_isna,0.0,False
V235,0.0,False
V235_clip_high,0.0,False
V235_clip_low,0.0,False
V235_isna,0.0,False
V234,0.0,False
V234_clip_high,0.0,False
V234_clip_low,0.0,False
V242_isna,0.0,False
V241,0.0,False
V241_clip_high,0.0,False
V241_clip_low,0.0,False
V241_isna,0.0,False
V240,0.0,False
V240_clip_high,0.0,False
V240_clip_low,0.0,False
V240_isna,0.0,False
V239,0.0,False
V239_clip_high,0.0,False
V239_clip_low,0.0,False
V239_isna,0.0,False
V238,0.0,False
V238_clip_high,0.0,False
V238_clip_low,0.0,False
V246_isna,0.0,False
V245_clip_high,0.0,False
V245_clip_low,0.0,False
V245_isna,0.0,False
V244,0.0,False
V244_clip_high,0.0,False
V244_clip_low,0.0,False
V244_isna,0.0,False
V243,0.0,False
V243_clip_high,0.0,False
V243_clip_low,0.0,False
V243_isna,0.0,False
V242,0.0,False
V242_clip_high,0.0,False
V242_clip_low,0.0,False
V250_isna,0.0,False
V249,0.0,False
V249_clip_high,0.0,False
V249_clip_low,0.0,False
V249_isna,0.0,False
V248,0.0,False
V248_clip_high,0.0,False
V248_clip_low,0.0,False
V248_isna,0.0,False
V247,0.0,False
V247_clip_high,0.0,False
V247_clip_low,0.0,False
